상호,제품군,대분류,질의 내용,답변,답변퀄리티
닥터자르트,화장품,제품관련,ㅠㅠ 구매하려고 담아뒀는데 할인률이 낮아졌네요.. 다시 60퍼 할인 예정은 없으실까요 ㅜㅜ,"세라마이딘 핸드크림은 12월 18일 라이브 프로모션 특가 상품으로, 12월 4주차에 한해 특별 프로모션 가격이 적용되었으며,행사가 종료되어 현재 할인율이 변경되었습니다.아쉽지만 이전 혜택 가격으로는 구매가 어려운 점 양해 부탁드립니다.감사합니다.",긍정
닥터자르트,화장품,제품관련,"안녕하세요 방금 주문했는데 유통기한 긴 상품으로 꼼꼼히 검수해서 배송 부탁드립니다! :•) 그리고 저도,, 샘플,, 와장창 받고 싶어요, ,, ㆍ/// ㆍ"," 세라마이딘 핸드크림을 구매해주셔서 감사드립니다.닥터자르트에서는 24개월이내 제조, 사용기한 12개월 이상 남은 제품으로 출고되고 있으며,구매하신 세라마이딘 핸드크림은 올해 생산되어 사용기한이 넉넉한 제품으로 출고될 것으로 예상됩니다.^^고객님께 신속하고 안전하게 배송되도록 노력하겠습니다.또한, 네이버 공식 스토어에서 구매하신 고객님들께연말을 맞이하여 아래 사은품을 제공해드리고 있습니다.세라마이딘 스킨 베리어 세럼 토너 1.5ml * 2개세라마이딘 스킨 베리어 모이스처라이징 밀키 로션 1.5ml * 2개세라마이딘 스킨 베리어 모이스처라이징 크림 1.5ml * 2개시카페어 인텐시브 수딩 리페어 젤 크림 1.5ml * 2개시카페어 쏘 수딩 트리트먼트 1.5ml * 2개구매하신 제품과 증정드린 사은품 모두 만족스러운 이용 부탁드립니다 😊감사합니다.",긍정
닥터자르트,화장품,제품관련,"이게 110 미리가있고 75 미리가있던데 
다른건가요???","기존의 ‘시카페어 슬리페어 앰플 인 마스크 110ml’가문의 남겨주신 ‘시카페어 슬리페어 인텐시브 수딩 리페어 마스크 75ml’로 리뉴얼 되었습니다.업그레이드된 시카 콤플렉스와 새롭게 더해진 R-프로텍터, 알란토인 성분을 고밀도의 수분 젤 제형에 담아자는 동안 집중적인 진정과 장벽 강화 효과는 물론,피부 수분, 광채, 결까지 케어 해주는 멀티 케어 수면 마스크로 업그레이드 되었습니다.새로워진 ‘시카페어 슬리페어 인텐시브 수딩 리페어 마스크’도 많은 관심 부탁드립니다 😊오늘도 건강하고 행복한 하루 되시기 바랍니다.감사합니다.",긍정
닥터자르트,화장품,제품관련,올리브영과 같은성분의 동일한제품 맞나요?," 문의주신 '세라마이딘 핸드크림'은 올리브영에서 판매되는 상품과 동일합니다.닥터자르트에서는 판매처에 따라 제품의 성분이 다르지 않으며,동일한 처방의 제품으로 다양한 판매처에서 판매중이오니 구매에 참고 부탁드립니다 😊앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,Ph지수 궁금 합니다, 시카페어 페이셜 카밍 미스트 제품에 대한 관심 감사드립니다.^^문의하신 시카페어 페이셜 카밍 미스트는 pH 5.5(±0.5) 약산성 제품입니다.이용 시 참고 부탁드립니다.오늘도 건강하고 행복한 하루 보내시기 바랍니다.감사합니다.,긍정
닥터자르트,화장품,배송,요즘 날씨가 영하로 내려가면서 많이 추운데 배송중에 온도 때문에 상품이 변질될 수 있나요?," 닥터자르트에서는 제품 출시 전 온도 변화(고온/저온)에 따른 테스트를 진행하고 있으며,내용물 변형에 이상 없는 제품에 한하여 출시하고 있습니다.토너/에센스와 같이 수분 함량이 높은 제품의 경우 추운 날씨의 영향을 받아 간혹 배송중 동결 되는 경우가 있으나, 상온 보관 후 정상 사용 가능합니다. 앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,행사,1세트 주문하면 비비크림 2개 오는거 맞죠?,"리쥬비네이팅 뷰티밤에 대한 관심 감사드립니다 ^^현재 네이버 공식 스토어에서 특별 할인가로 2개 세트만 판매중으로,[더 메이크업 리쥬비네이팅 뷰티밤 50ml (SPF40) 2개] 상품 수량을 1개 구매하시면,본품 2개를 받아보실 수 있습니다. 앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다.감사합니다.",긍정
닥터자르트,화장품,제품관련,"울트라모이스처라이징 단종인가요??
판테놀 들어가잇음 발진일어나서 울트라 쓰고있엇는데 공홈에 없네요 .."," '세라마이딘 울트라 모이스처라이징 크림'은 현재 판매중인 상품이며,올리브영을 통해 단독 판매되는 상품입니다.구매에 참고부탁드리겠습니다.😊 앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,의견,스킨만 사용했는데 스킨베리어 샘플 써보고 좋아서 구매합니다. 하나는 내가쓰고 하나는 선물하려구요. 빠른배송부탁드려요~^^," 세라마이딘 스킨 베리어 모이스처라이징 크림을 만족스럽게 이용해주시고구매해주셔서 감사드립니다 고객님^^고객님의 주문건은 금일 출고 예정이며, 신속하고 안전한 배송 될 수 있도록 노력하겠습니다.앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,행사,"10만원사은품기준이 세일전 가격 기준인가요? ?
쿠폰적용이랑은연관없나요?", 네이버 공식 스토어를 이용해주셔서 감사드립니다.5만원 이상 / 10만원 이상 증정해드리는 금액대별 사은품은할인 적용 이후 최종 결제금액 기준으로 증정해드리고 있습니다 😊앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.,긍정
