상호,제품군,대분류,질의 내용,답변,답변퀄리티
케이스플리즈,폰케이스,제품관련,"원래 필름에 베젤이 있나요 ?
15프로에 붙일건데 베젤 사이즈 얼마나 차이나나요 ?","안녕하세요 고객님, caseplz 담당자 정채은입니다.먼저 저희 쇼핑몰을 찾아주셔서 감사합니다.필름에 검은 베젤 부분은 아이폰 곡률로 생기는 가장자리 들뜸 현상을 가려주는 역할을 하며, 액정보호필름의 먼지 끼임을 방지하여 줍니다.해당 제품은 얇아진 아이폰 베젤에 맞추어 15프로 기준 0.6MM 정도로 최소화하여 디자인 되었으며, 화면을 가리지 않는 필름을 찾으신다면 만족 드릴 수 있을 것 같습니다.답변이 쇼핑에 도움이 되셨기를 바라며 추가 문의나 요청 사항이 있으시다면 언제든지 고객센터 T.1688-7390 / 네이버 톡톡 / 카카오톡 '케이스를부탁해'로 연락주시면 항상 최선을 다하여 정성껏 안내드리도록 하겠습니다. 감사합니다.",긍정
케이스플리즈,폰케이스,제품관련,액정필름 교체주기가 있을까요?,"안녕하세요 고객님, caseplz 담당자 정채은입니다.먼저 저희 쇼핑몰을 찾아주셔서 감사합니다.액정 필름은 정해진 교체 주기가 따로 없으며, 사용자의 사용 습관과 환경에 따라 사용 기간이 크게 달라질 수 있습니다.일반적으로 필름의 파손 또는 표면 기스나 오염으로 인해 사용에 불편함을 느끼실 때 교체하시는 것을 추천드립니다.답변이 쇼핑에 도움이 되셨기를 바라며 추가 문의나 요청 사항이 있으시다면 언제든지 고객센터 T.1688-7390 / 네이버 톡톡 / 카카오톡 '케이스를부탁해'로 연락주시면 항상 최선을 다하여 정성껏 안내드리도록 하겠습니다. 감사합니다.",긍정
케이스플리즈,폰케이스,제품관련,"기존에 아이폰 14프로 케이스를 이 링크에서 구매했는데요, 이번에는 15프로를 살려고 하는데 14프로를 사용해보니 카메라 렌즈 보호는 안되더라고요.

혹시 이 스토어에 카메라 렌즈까지 보호되는 케이스는 있을까요?
없다면 렌즈 보호 필름을 구매가 가능한지도 문의 드립니다","안녕하세요 고객님, caseplz 담당자 정채은입니다.렌즈까지 막혀있는 일체형 제품을 찾고 계신 것 같습니다. 해당 링크의 ""딱따구리 프로"" 케이스는 렌즈 부위가 유리로 막혀있는 구조는 아니지만, 렌즈를 하나하나 감싸는 렌즈 풀 커버 타입으로 렌즈립(렌즈주변부)이 렌즈 자체의 높이보다 높아서 카메라 렌즈 보호에 충실한 제품입니다. 또한 욕실 등 습한 환경에서 습기가 차지 않아 케이스를 탈착할 일이 없는 점, 카메라 사용 시 렌즈에 1%의 간섭도 없이 선명한 화질을 그대로 구현할 수 있는 부분이 큰 장점입니다.문의 주신 내용의 카메라 렌즈 부위가 유리로 덮여 있는 일체형 제품의 경우 프로토 타입 생산 후 테스트 판매를 약 세 달간 진행하였으며, 현재는 양산형 제품으로 생산이 완료되어 정식 출시를 앞두고 있습니다.출시 예정 명칭은 ""딱따구리 프로 맥스"" 케이스로 최대한 빠른 시일 내로 출시할 수 있도록 더욱 서두르겠습니다. 괜찮으시다면 네이버 톡톡으로 연락처 남겨주시면 제품 출시 당일 입고 안내 문자 발송 도와드리겠습니다.추가 문의나 요청 사항이 있으시다면 언제든지 고객센터 T.1688-7390 / 네이버 톡톡 / 카카오톡 '케이스를부탁해'로 연락주시면 항상 최선을 다하여 정성껏 안내드리도록 하겠습니다. 감사합니다.",긍정
케이스플리즈,폰케이스,제품관련,"안녕하세요!
전면 풀커버 강화유리필름 부착된 상태에서 이 제품 장착시
테두리 부분 강화유리랑 간섭 1도 없나요?
저가 제품 씌었는데 간섭이 있어서 보서리 부분 강화유리가 살짝씩 뜨더라구요?
이 제품은 간섭 없을까요?","안녕하세요 고객님, caseplz 담당자 정채은입니다.문의 주신 제품은 다양한 필름과의 호환을 위해 디바이스 자체와의 결합력을 최대한 핏하고 단단하게 유지하면서도 액정 안쪽으로 케이스가 넘어오는 정도를 최대한으로 줄여 액정보호필름과의 간섭을 최소화한 제품입니다.caseplz 자사의 풀커버 필름의 경우 다양한 케이스와의 호환 및 간섭방지, 기포와 들뜸 방지를 위해 디바이스 전면 전체 사이즈보다 미세하게 작으면서도 디스플레이 화면을 침범하지 않는 사이즈로 정밀하게 제작하였기 때문에 문의주신 딱따구리 프로 케이스와는 간섭없이 깔끔한 매칭이 가능하십니다.다만 타사 필름들의 경우 제작되는 규격이 모두 달라 이에 대해 정확히 안내드리기는 조금 어려우나, 딱따구리 케이스 제품 출시 시기에 수없이 많은 시중의 액정보호필름들을 테스트하였고 액정보호필름이 중앙에 정확히 부착되었다는 가정하에 간섭이 있는 경우는 없었습니다.필름과 케이스를 동시에 사용하신다면 편리한 부착과 실패확률(간섭 들뜸 등)을 줄이기 위해 가능하시다면 주사용 케이스를 먼저 장착하신 후 장착 된 케이스를 가이드 삼아 액정보호필름을 부착하시길 권장드리고 있습니다. 저희의 답변이 고객님께 도움이 되시길 바라며 추가 문의나 요청 사항이 있으시다면 언제든지 고객센터 T.1688-7390 / 네이버 톡톡 / 카카오톡 '케이스를부탁해'로 연락주시면 항상 최선을 다하여 정성껏 안내드리도록 하겠습니다.감사합니다.",긍정
케이스플리즈,폰케이스,제품관련,아이폰 14용 케이스를 주문해서 오늘 받았는데 다른부분은 껴지는것 같은데 카메라부분쪽이 끝까지 껴지질않아서 장착이 안되는데.. 제품불량인건지 제품에는 아이폰14스티커가 붙어있긴한데.. 많이기다렸는데 마음이 아프네요..,"안녕하세요 고객님, caseplz 담당자 정채은입니다.우선 저희 제품을 믿고 구입하여 주셨으나, 만족드리지 못한 점 사과드립니다.해당 제품은 고정된 틀에 맞추어 대량 제작되는 공산품인만큼 한두개의 제품만 사이즈가 다르게 제작되기는 조금 어려운 구조입니다.혹시 수령하신 제품이 아이폰 14 기종이 맞는지, 오배송 된건지 먼저 확인해보겠습니다.다만 오배송이 아닌 경우 렌즈 보호 필름이 붙어있는 경우가 대부분이라, 번거로우시겠지만 네이버 톡톡으로 케이스를 착용하지 않은 상태의 아이폰 렌즈 부위 사진을 여러 각도로 자세히 찍어 보내주시면 저희 쪽에서 확인 후 빠르게 안내 도와드리겠습니다. 감사합니다.",긍정
케이스플리즈,폰케이스,제품관련,안녕하세요. 케이스 두께가 몇mm인가요?,"안녕하세요 고객님, caseplz 담당자 정채은입니다.먼저 저희 쇼핑몰을 찾아주셔서 감사합니다.문의 주신 제품은 두께 1mm의 매우 슬림한 하드케이스입니다. 답변이 쇼핑에 도움이 되셨기를 바랍니다.추가 문의나 요청 사항이 있으시다면 언제든지 고객센터 T.1688-7390 / 네이버 톡톡 / 카카오톡 '케이스를부탁해'로 연락주시면 항상 최선을 다하여 정성껏 안내드리도록 하겠습니다. 감사합니다.",긍정
케이스플리즈,폰케이스,제품관련,"지문방지 필름보다가 여기까지 왔는데 슥샥쇽은 울렁거리고 약하다는 글들이 있어서요. 지문방지가 주 목적이지만 강화유리 기능도 있다고 해서 왔는데, 지문 자체가 잘 안묻는다는건지, 지문은 잘 묻지만 잘 지워진다는건지 알려주세요","안녕하세요 고객님, caseplz 담당자 정채은입니다.먼저 저희 쇼핑몰을 찾아주셔서 감사합니다.문의 주신 제품은 프리미엄 라인의 필름으로 기본적인 사용감 증진을 위해 올레포빅 코팅이 되어 있어, 일반 저가형 강화 유리에 비해 지문 방지 기능(잘 묻지 않음)이 뛰어난 제품입니다.다만 선명한 화질과 액정 충격량 흡수에 초점을 맞추어 제작된 제품인 만큼, 슥샥쇽 필름처럼 매트한 재질의 코팅이 아니라 완전히 지문이 묻지 않는 것은 아닌 점 참고 부탁드립니다.답변이 쇼핑에 도움이 되셨기를 바랍니다.추가 문의나 요청 사항이 있으시다면 언제든지 고객센터 T.1688-7390 / 네이버 톡톡 / 카카오톡 '케이스를부탁해'로 연락주시면 항상 최선을 다하여 정성껏 안내드리도록 하겠습니다. 감사합니다.",긍정
케이스플리즈,폰케이스,제품관련,se 1도 있나여 ?,"안녕하세요 고객님, caseplz 담당자 정채은입니다.죄송하지만 현재 se1 기종은 판매하고 있지 않습니다. 양해 부탁드립니다.추가 문의나 요청 사항이 있으시다면 언제든지 고객센터 T.1688-7390 / 네이버 톡톡 / 카카오톡 '케이스를부탁해'로 연락주시면 항상 최선을 다하여 정성껏 안내드리도록 하겠습니다. 감사합니다.",긍정
케이스플리즈,폰케이스,제품관련,"필름 붙인 이후로 터치가 잘 안돼서 세게, 여러번 눌러야 하는데 원래 그런건가요..?","안녕하세요 고객님, caseplz 담당자 정채은입니다.우선 저희 제품을 믿고 구입하여 주셨으나, 만족드리지 못한 점 사과드립니다.저희 파리 슬라이딩 라인은 프리미엄급의 필름으로 높은 수준의 액정 충격 흡수량에 초점을 맞추어 출시된 제품으로, 시중의 필름보다 1.5배 정도 두꺼운 두께로 디자인 되었습니다.기존에 얇은 필름만 사용하셨다면 상대적으로 터치가 조금 힘들다는 느낌이 드실 수도 있으실 것 같습니다.다만 고객님께서 판단하시기에 제품이 불량인 것 같다는 생각이 들 만큼 사용하시기 많이 불편하시다면 구입하여 주신 사이트에서 제품 불량으로 교환/반품 신청하여 주시면 빠르게 처리 도와드리고 있으니 확인 부탁 드립니다.caseplz는 고객님께서 만족하실 수 있도록 최선을 다 하겠습니다.추가 문의나 요청사항이 있으시다면 언제든지 네이버 톡톡 / 상품 문의 게시판 / 고객센터 T.1688-7390 / 카카오톡 '케이스를부탁해'로 연락주시면 항상 최선을 다하여 정성껏 안내드리도록 하겠습니다. 감사합니다.",긍정
케이스플리즈,폰케이스,제품관련,혹시 사생활보호 필름에 지문방지기능도 들어가있나요?,"안녕하세요 고객님, caseplz 담당자 정채은입니다.저희 쇼핑몰을 찾아주셔서 감사합니다.문의 주신 제품은 기본적으로 지문 방지를 위해 올레포빅 코팅이 되어 있으나, 매트한 재질의 코팅은 아닌 점 참고 부탁드립니다.답변이 쇼핑에 도움이 되셨기를 바랍니다.추가 문의나 요청 사항이 있으시다면 언제든지 고객센터 T.1688-7390 / 네이버 톡톡 / 카카오톡 '케이스를부탁해'로 연락주시면 항상 최선을 다하여 정성껏 안내드리도록 하겠습니다. 감사합니다.",긍정
